"Realized Gain/Loss - Lot Details for ...299 as of Mon Jul 06  10:47:11 EDT 2026 from 07/01/2026 to 07/06/2026","","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol","Name","Closed Date","Opened Date","Quantity","Proceeds Per Share","Cost Per Share","Proceeds","Cost Basis (CB)","Gain/Loss ($)","Gain/Loss (%)","Long Term Gain/Loss","Short Term Gain/Loss","Term","Unadjusted Cost Basis","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"ELAB","PMGC HLDGS INC","07/06/2026","07/06/2026","250","$1.41","$1.39","$352.94","$346.59","$6.35","1.832135953143%","","$6.35","Short Term","$346.59","No","","07/06/2026","","","","","","",""
"ELAB","PMGC HLDGS INC","07/06/2026","07/06/2026","250","$1.39","$1.39","$347.77","$347.23","$0.54","0.15551651643%","","$0.54","Short Term","$347.23","No","","07/06/2026","","","","","","",""
"GMEX","GMEX ROBOTICS CORP A","07/06/2026","07/06/2026","50","$7.88","$7.35","$393.99","$367.50","$26.49","7.208163265306%","","$26.49","Short Term","$367.50","No","","07/06/2026","","","","","","",""
"GMEX","GMEX ROBOTICS CORP A","07/06/2026","07/06/2026","50","$6.26","$6.19","$313.00","$309.50","$3.50","1.130856219709%","","$3.50","Short Term","$309.50","No","","07/06/2026","","","","","","",""
"KIDZ","KIDZ AI INC","07/06/2026","07/06/2026","250","$0.84","$0.91","$209.85","$227.65","$0.00","0%","","$0.00","Short Term","$227.65","Yes","$17.80","07/06/2026","","","","","","",""
"KIDZ","KIDZ AI INC","07/06/2026","07/06/2026","250","$1.06","$1.10","$264.94","$274.98","$0.00","0%","","$0.00","Short Term","$274.98","Yes","$10.04","07/06/2026","$257.18","$7.76","3.017341939498%","","","$7.76","3.017341939497628%"
"KIDZ","KIDZ AI INC","07/06/2026","07/06/2026","250","$1.06","$1.07","$264.99","$267.04","-$2.05","-0.767675254643%","","-$2.05","Short Term","$267.04","No","","07/06/2026","$257.00","$7.99","3.108949416342%","","","$7.99","3.1089494163424125%"
"LHSW","LIANHE SOWELL INTL G A","07/06/2026","07/06/2026","150","$5.55","$5.46","$831.82","$818.90","$12.92","1.577726218097%","","$12.92","Short Term","$818.90","No","","07/06/2026","","","","","","",""
"LHSW","LIANHE SOWELL INTL G A","07/06/2026","07/06/2026","150","$5.20","$5.19","$779.95","$778.50","$1.45","0.186255619782%","","$1.45","Short Term","$778.50","No","","07/06/2026","","","","","","",""
"LHSW","LIANHE SOWELL INTL G A","07/06/2026","07/06/2026","50","$5.55","$6.03","$277.38","$301.50","$0.00","0%","","$0.00","Short Term","$301.50","Yes","$24.12","07/06/2026","","","","","","",""
"LHSW","LIANHE SOWELL INTL G A","07/06/2026","07/06/2026","50","$5.92","$6.40","$296.23","$320.12","-$23.89","-7.462826440085%","","-$23.89","Short Term","$320.12","No","","07/06/2026","$296.00","$0.23","0.077702702703%","","","$0.23","0.07770270270270271%"
"LUCY","INNOVATIVE EYEWEAR I EQUITY","07/06/2026","07/06/2026","250","$0.94","$0.92","$234.98","$229.92","$5.06","2.200765483646%","","$5.06","Short Term","$229.92","No","","07/06/2026","","","","","","",""
"LUCY","INNOVATIVE EYEWEAR I EQUITY","07/06/2026","07/06/2026","250","$0.94","$0.92","$235.08","$229.98","$5.10","2.217584137751%","","$5.10","Short Term","$229.98","No","","07/06/2026","","","","","","",""
"LUCY","INNOVATIVE EYEWEAR I EQUITY","07/06/2026","07/06/2026","250","$1.15","$1.14","$288.69","$283.75","$4.94","1.740969162996%","","$4.94","Short Term","$283.75","No","","07/06/2026","","","","","","",""
"LUCY","INNOVATIVE EYEWEAR I EQUITY","07/06/2026","07/06/2026","250","$1.15","$1.14","$288.70","$284.70","$4.00","1.404987706358%","","$4.00","Short Term","$284.70","No","","07/06/2026","","","","","","",""
"ZNB","ZETA NETWORK GROUP A","07/06/2026","07/06/2026","250","$0.74","$0.77","$185.48","$191.73","-$6.25","-3.259792416419%","","-$6.25","Short Term","$191.73","No","","07/06/2026","","","","","","",""
"CETX","CEMTREX INC","07/02/2026","07/02/2026","250","$5.25","$5.18","$1,312.42","$1,294.88","$17.54","1.354565674039%","","$17.54","Short Term","$1,294.88","No","","07/02/2026","","","","","","",""
"CETX","CEMTREX INC","07/02/2026","07/02/2026","250","$4.97","$5.15","$1,242.42","$1,286.49","$0.00","0%","","$0.00","Short Term","$1,286.49","Yes","$44.07","07/02/2026","","","","","","",""
"CETX","CEMTREX INC","07/02/2026","07/02/2026","250","$4.64","$4.79","$1,160.43","$1,196.25","$0.00","0%","","$0.00","Short Term","$1,196.25","Yes","$35.82","07/02/2026","$1,152.18","$8.25","0.716033953028%","","","$8.25","0.7160339530281726%"
"CETX","CEMTREX INC","07/02/2026","07/02/2026","250","$4.83","$5.18","$1,207.88","$1,295.32","$0.00","0%","","$0.00","Short Term","$1,295.32","Yes","$87.44","07/02/2026","$1,259.50","-$51.62","-4.098451766574%","","","-$51.62","-4.098451766574037%"
"CETX","CEMTREX INC","07/02/2026","07/02/2026","250","$4.13","$4.57","$1,032.93","$1,142.42","-$109.49","-9.584040895643%","","-$109.49","Short Term","$1,142.42","No","","07/02/2026","$1,054.98","-$22.05","-2.090087015868%","","","-$22.05","-2.0900870158675993%"
"CLRO","CLEARONE INC","07/02/2026","07/02/2026","250","$4.39","$4.88","$1,097.43","$1,220.00","$0.00","0%","","$0.00","Short Term","$1,220.00","Yes","$122.57","07/02/2026","","","","","","",""
