symbol,shares,entryPrice,entryTime,exitPrice,exitTime,side,setup,confidence,ruleViolation,psychology,whatWorked,whatFailed,link

Week Summary,,,,,,,,,,,,,,
NVDA,500,148.50,2026-04-03 9:35:00 AM,152.40,2026-04-03 10:18:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
PLTR,800,88.20,2026-04-03 11:05:00 AM,90.75,2026-04-03 12:30:00 PM,long,VWAP reclaim,5,n/a,focused,waited for volume,took profits early,
TSLA,200,265.30,2026-04-03 2:15:00 PM,261.80,2026-04-03 3:20:00 PM,short,reversal play,4,n/a,calm,good entry timing,exited before target,
MARA,1000,22.40,2026-04-01 9:40:00 AM,24.10,2026-04-01 10:55:00 AM,long,crypto momentum,5,n/a,very confident,rode momentum,could scale better,
RIOT,1000,14.80,2026-04-01 11:20:00 AM,15.90,2026-04-01 1:45:00 PM,long,BTC correlation,4,n/a,focused,correlated entry timing,sold too soon,
CRWD,150,372.50,2026-04-02 9:35:00 AM,381.20,2026-04-02 11:00:00 AM,long,gap and go,5,n/a,confident,A+ execution,could hold runner,
AMZN,300,210.80,2026-04-02 1:30:00 PM,214.50,2026-04-02 3:10:00 PM,long,trend continuation,4,n/a,patient,partial exits smooth,exited at first resistance,
META,100,548.20,2026-04-03 9:45:00 AM,555.60,2026-04-03 11:30:00 AM,long,PMH breakout,5,n/a,very confident,added on confirmation,took profits early,
COIN,250,278.40,2026-04-03 2:00:00 PM,271.20,2026-04-03 3:45:00 PM,short,BTC correlation,4,n/a,calm,good entry timing,could add on pullback,

Week Summary,,,,,,,,,,,,,,
NVDA,400,145.80,2026-03-27 9:35:00 AM,150.20,2026-03-27 10:45:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
PLTR,600,85.40,2026-03-25 9:40:00 AM,88.90,2026-03-25 11:20:00 AM,long,VWAP reclaim,5,n/a,focused,waited for volume,took profits early,
TSLA,200,258.70,2026-03-24 10:15:00 AM,263.40,2026-03-24 12:00:00 PM,long,trend continuation,4,n/a,patient,held through pullback,sold too soon,
AMD,300,168.20,2026-03-26 9:35:00 AM,173.80,2026-03-26 10:50:00 AM,long,ORB breakout,5,n/a,confident,A+ execution,could hold runner,
MARA,800,21.30,2026-03-25 11:30:00 AM,23.50,2026-03-25 2:15:00 PM,long,crypto momentum,4,n/a,focused,correlated entry timing,could scale better,
NET,400,122.40,2026-03-27 10:00:00 AM,118.80,2026-03-27 11:30:00 AM,short,reversal play,4,n/a,calm,good entry timing,exited before target,
GOOGL,200,181.50,2026-03-24 2:00:00 PM,185.20,2026-03-24 3:30:00 PM,long,support reclaim,4,n/a,patient,partial exits smooth,exited at first resistance,
CRWD,100,368.40,2026-03-26 1:45:00 PM,375.60,2026-03-26 3:20:00 PM,long,flag breakout,5,n/a,very confident,rode momentum,took profits early,
UPST,500,76.80,2026-03-23 9:40:00 AM,80.50,2026-03-23 11:15:00 AM,long,morning momentum,5,n/a,very confident,added on confirmation,could hold runner,

Week Summary,,,,,,,,,,,,,,
NVDA,500,142.30,2026-03-20 9:35:00 AM,147.60,2026-03-20 10:55:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
TSLA,250,252.80,2026-03-18 9:40:00 AM,248.20,2026-03-18 11:00:00 AM,short,reversal play,4,n/a,calm,good entry timing,exited before target,
PLTR,700,82.60,2026-03-19 9:35:00 AM,86.40,2026-03-19 11:20:00 AM,long,gap and go,5,n/a,confident,A+ execution,sold too soon,
MARA,1000,20.50,2026-03-17 10:00:00 AM,22.80,2026-03-17 12:30:00 PM,long,crypto momentum,5,n/a,very confident,rode momentum,could scale better,
AMD,400,162.40,2026-03-18 1:30:00 PM,166.80,2026-03-18 3:00:00 PM,long,VWAP reclaim,4,n/a,focused,waited for volume,took profits early,
DDOG,300,142.80,2026-03-19 2:00:00 PM,146.50,2026-03-19 3:30:00 PM,long,trend continuation,4,n/a,patient,held through pullback,exited at first resistance,
META,100,540.60,2026-03-16 9:45:00 AM,548.20,2026-03-16 11:30:00 AM,long,PMH breakout,5,n/a,very confident,added on confirmation,could hold runner,
RIOT,800,13.40,2026-03-17 11:00:00 AM,14.60,2026-03-17 1:45:00 PM,long,BTC correlation,4,n/a,focused,correlated entry timing,took profits early,
COIN,200,268.50,2026-03-20 1:30:00 PM,262.80,2026-03-20 3:15:00 PM,short,BTC correlation,4,n/a,calm,partial exits smooth,exited before target,

Week Summary,,,,,,,,,,,,,,
NVDA,450,139.60,2026-03-13 9:35:00 AM,144.80,2026-03-13 11:00:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
PLTR,600,80.20,2026-03-11 9:40:00 AM,83.90,2026-03-11 11:15:00 AM,long,VWAP reclaim,5,n/a,focused,waited for volume,sold too soon,
TSLA,200,248.40,2026-03-09 10:00:00 AM,253.70,2026-03-09 12:00:00 PM,long,trend continuation,4,n/a,patient,held through pullback,took profits early,
SMCI,500,42.80,2026-03-10 9:35:00 AM,45.20,2026-03-10 10:45:00 AM,long,gap and go,5,n/a,confident,A+ execution,could hold runner,
MARA,900,19.60,2026-03-12 11:00:00 AM,21.40,2026-03-12 1:30:00 PM,long,crypto momentum,4,n/a,focused,correlated entry timing,could scale better,
AMD,350,158.80,2026-03-11 2:00:00 PM,163.50,2026-03-11 3:30:00 PM,long,support reclaim,4,n/a,calm,partial exits smooth,exited at first resistance,
CRWD,100,362.40,2026-03-13 1:45:00 PM,370.80,2026-03-13 3:15:00 PM,long,multi-day breakout,5,n/a,very confident,rode momentum,took profits early,
GOOGL,250,178.60,2026-03-09 1:30:00 PM,182.40,2026-03-09 3:00:00 PM,long,pullback to 9 EMA,4,n/a,patient,good entry timing,exited at first resistance,
UPST,400,74.20,2026-03-10 2:15:00 PM,77.80,2026-03-10 3:45:00 PM,long,morning momentum,5,n/a,very confident,added on confirmation,could hold runner,

Week Summary,,,,,,,,,,,,,,
NVDA,500,136.40,2026-03-06 9:35:00 AM,141.60,2026-03-06 10:50:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
TSLA,300,244.80,2026-03-04 9:40:00 AM,240.50,2026-03-04 11:00:00 AM,short,reversal play,4,n/a,calm,good entry timing,exited before target,
PLTR,700,77.80,2026-03-05 9:35:00 AM,81.20,2026-03-05 11:15:00 AM,long,gap and go,5,n/a,confident,A+ execution,sold too soon,
MARA,1000,18.80,2026-03-02 10:15:00 AM,20.60,2026-03-02 12:30:00 PM,long,crypto momentum,5,n/a,very confident,rode momentum,could scale better,
AMD,400,155.40,2026-03-03 9:45:00 AM,160.20,2026-03-03 11:30:00 AM,long,VWAP reclaim,4,n/a,focused,waited for volume,took profits early,
NET,300,117.60,2026-03-04 1:30:00 PM,121.40,2026-03-04 3:00:00 PM,long,trend continuation,4,n/a,patient,held through pullback,exited at first resistance,
COIN,250,258.40,2026-03-06 1:45:00 PM,253.20,2026-03-06 3:30:00 PM,short,BTC correlation,4,n/a,calm,partial exits smooth,exited before target,
AMZN,250,207.60,2026-03-05 2:00:00 PM,211.80,2026-03-05 3:30:00 PM,long,pullback to 9 EMA,4,n/a,patient,good entry timing,took profits early,
SMCI,400,40.60,2026-03-02 11:00:00 AM,43.20,2026-03-02 1:45:00 PM,long,support reclaim,5,n/a,very confident,added on confirmation,could hold runner,

Week Summary,,,,,,,,,,,,,,
NVDA,400,133.80,2026-02-27 9:35:00 AM,138.40,2026-02-27 10:45:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
PLTR,600,75.40,2026-02-25 9:40:00 AM,78.80,2026-02-25 11:20:00 AM,long,VWAP reclaim,5,n/a,focused,waited for volume,took profits early,
TSLA,200,241.60,2026-02-24 10:00:00 AM,246.80,2026-02-24 12:00:00 PM,long,trend continuation,4,n/a,patient,held through pullback,sold too soon,
AMD,350,152.60,2026-02-26 9:35:00 AM,157.40,2026-02-26 10:50:00 AM,long,morning momentum,5,n/a,confident,A+ execution,could hold runner,
MARA,800,18.20,2026-02-23 11:30:00 AM,19.80,2026-02-23 2:00:00 PM,long,crypto momentum,4,n/a,focused,correlated entry timing,could scale better,
CRWD,100,356.80,2026-02-27 10:00:00 AM,363.40,2026-02-27 11:30:00 AM,long,flag breakout,5,n/a,very confident,rode momentum,took profits early,
DDOG,300,138.40,2026-02-24 2:00:00 PM,142.60,2026-02-24 3:30:00 PM,long,consolidation break,4,n/a,calm,partial exits smooth,exited at first resistance,
GOOGL,200,175.80,2026-02-25 1:30:00 PM,179.60,2026-02-25 3:15:00 PM,long,support reclaim,4,n/a,patient,good entry timing,took profits early,
RIOT,700,12.80,2026-02-26 11:00:00 AM,13.90,2026-02-26 1:45:00 PM,long,BTC correlation,4,n/a,focused,added on confirmation,exited at first resistance,

Week Summary,,,,,,,,,,,,,,
NVDA,500,131.20,2026-02-20 9:35:00 AM,136.40,2026-02-20 11:00:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
TSLA,300,238.80,2026-02-18 9:40:00 AM,234.20,2026-02-18 11:00:00 AM,short,reversal play,4,n/a,calm,good entry timing,exited before target,
PLTR,700,73.20,2026-02-19 9:35:00 AM,76.80,2026-02-19 11:15:00 AM,long,gap and go,5,n/a,confident,A+ execution,sold too soon,
MARA,900,17.60,2026-02-17 10:00:00 AM,19.40,2026-02-17 1:30:00 PM,long,crypto momentum,5,n/a,very confident,rode momentum,could scale better,
AMD,400,149.80,2026-02-18 1:30:00 PM,154.60,2026-02-18 3:00:00 PM,long,VWAP reclaim,4,n/a,focused,waited for volume,took profits early,
SMCI,500,38.40,2026-02-19 2:00:00 PM,41.20,2026-02-19 3:30:00 PM,long,trend continuation,4,n/a,patient,held through pullback,exited at first resistance,
META,100,530.40,2026-02-16 9:45:00 AM,538.60,2026-02-16 11:30:00 AM,long,PMH breakout,5,n/a,very confident,added on confirmation,could hold runner,
COIN,200,248.60,2026-02-20 1:45:00 PM,243.40,2026-02-20 3:30:00 PM,short,BTC correlation,4,n/a,calm,partial exits smooth,exited before target,
UPST,400,71.40,2026-02-17 11:00:00 AM,74.80,2026-02-17 2:00:00 PM,long,morning momentum,4,n/a,focused,correlated entry timing,took profits early,

Week Summary,,,,,,,,,,,,,,
NVDA,450,128.60,2026-02-13 9:35:00 AM,133.80,2026-02-13 10:55:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
PLTR,600,71.40,2026-02-11 9:40:00 AM,74.80,2026-02-11 11:20:00 AM,long,VWAP reclaim,5,n/a,focused,waited for volume,sold too soon,
TSLA,200,235.60,2026-02-09 10:00:00 AM,240.40,2026-02-09 12:00:00 PM,long,trend continuation,4,n/a,patient,held through pullback,took profits early,
AMD,350,147.20,2026-02-10 9:35:00 AM,152.40,2026-02-10 10:50:00 AM,long,morning momentum,5,n/a,confident,A+ execution,could hold runner,
MARA,800,16.80,2026-02-12 11:00:00 AM,18.40,2026-02-12 1:45:00 PM,long,crypto momentum,4,n/a,focused,correlated entry timing,could scale better,
NET,400,114.20,2026-02-11 2:00:00 PM,118.40,2026-02-11 3:30:00 PM,long,consolidation break,4,n/a,calm,partial exits smooth,exited at first resistance,
CRWD,100,350.60,2026-02-13 1:45:00 PM,358.40,2026-02-13 3:15:00 PM,long,multi-day breakout,5,n/a,very confident,rode momentum,took profits early,
GOOGL,250,173.20,2026-02-09 1:30:00 PM,177.40,2026-02-09 3:00:00 PM,long,pullback to 9 EMA,4,n/a,patient,good entry timing,exited at first resistance,
SMCI,500,36.80,2026-02-10 2:15:00 PM,39.40,2026-02-10 3:45:00 PM,long,support reclaim,5,n/a,very confident,added on confirmation,could hold runner,

Week Summary,,,,,,,,,,,,,,
NVDA,500,126.20,2026-02-06 9:35:00 AM,131.40,2026-02-06 10:50:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
TSLA,300,232.80,2026-02-04 9:40:00 AM,228.60,2026-02-04 11:00:00 AM,short,reversal play,4,n/a,calm,good entry timing,exited before target,
PLTR,700,69.60,2026-02-05 9:35:00 AM,73.20,2026-02-05 11:15:00 AM,long,gap and go,5,n/a,confident,A+ execution,sold too soon,
MARA,1000,16.20,2026-02-02 10:15:00 AM,17.80,2026-02-02 12:30:00 PM,long,crypto momentum,5,n/a,very confident,rode momentum,could scale better,
AMD,400,144.60,2026-02-03 9:45:00 AM,149.40,2026-02-03 11:30:00 AM,long,VWAP reclaim,4,n/a,focused,waited for volume,took profits early,
AMZN,250,204.40,2026-02-04 1:30:00 PM,208.60,2026-02-04 3:00:00 PM,long,trend continuation,4,n/a,patient,held through pullback,exited at first resistance,
COIN,250,238.80,2026-02-06 1:45:00 PM,233.60,2026-02-06 3:30:00 PM,short,BTC correlation,4,n/a,calm,partial exits smooth,exited before target,
RIOT,800,12.20,2026-02-05 11:00:00 AM,13.20,2026-02-05 1:45:00 PM,long,BTC correlation,4,n/a,focused,correlated entry timing,took profits early,
DDOG,300,135.80,2026-02-03 2:00:00 PM,139.60,2026-02-03 3:30:00 PM,long,flag breakout,5,n/a,very confident,added on confirmation,could hold runner,

Week Summary,,,,,,,,,,,,,,
NVDA,450,123.80,2026-01-30 9:35:00 AM,128.60,2026-01-30 10:55:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
PLTR,600,68.20,2026-01-28 9:40:00 AM,71.60,2026-01-28 11:20:00 AM,long,VWAP reclaim,5,n/a,focused,waited for volume,sold too soon,
TSLA,200,230.40,2026-01-26 10:00:00 AM,235.20,2026-01-26 12:00:00 PM,long,trend continuation,4,n/a,patient,held through pullback,took profits early,
AMD,350,142.40,2026-01-29 9:35:00 AM,147.60,2026-01-29 10:50:00 AM,long,morning momentum,5,n/a,confident,A+ execution,could hold runner,
MARA,800,15.60,2026-01-27 11:30:00 AM,17.20,2026-01-27 2:00:00 PM,long,crypto momentum,4,n/a,focused,correlated entry timing,could scale better,
SMCI,400,35.20,2026-01-30 10:00:00 AM,37.80,2026-01-30 11:30:00 AM,long,gap and go,4,n/a,calm,partial exits smooth,exited at first resistance,
CRWD,100,346.20,2026-01-28 2:00:00 PM,353.80,2026-01-28 3:30:00 PM,long,multi-day breakout,5,n/a,very confident,rode momentum,took profits early,
