symbol,shares,entryPrice,entryTime,exitPrice,exitTime,side,setup,confidence,ruleViolation,psychology,whatWorked,whatFailed,link

Week Summary,,,,,,,,,,,,,,
AAPL,10,228.50,2026-04-03 10:15:00 AM,225.80,2026-04-03 11:42:00 AM,long,breakout,2,chased entry after big move,anxious,nothing,entered after big move,
SPY,5,592.00,2026-04-02 2:45:00 PM,589.50,2026-04-02 3:12:00 PM,long,momentum,2,trading last 15 min,fomo,nothing,chased entry,
TSLA,8,268.00,2026-04-01 9:35:00 AM,262.50,2026-04-01 10:05:00 AM,long,opening range,1,trading first 5 min,excited,nothing,entered after big move,
NVDA,6,148.00,2026-03-31 11:20:00 AM,151.50,2026-03-31 12:55:00 PM,long,support bounce,2,n/a,hopeful,identified level,nothing,
AMD,12,162.50,2026-03-31 9:45:00 AM,158.00,2026-03-31 10:30:00 AM,long,breakout,2,no stop loss plan,fomo,nothing,held too long,

Week Summary,,,,,,,,,,,,,,
META,3,542.00,2026-03-27 1:30:00 PM,548.50,2026-03-27 2:50:00 PM,long,pullback,3,n/a,hopeful,identified level,nothing,
COIN,10,275.00,2026-03-26 9:40:00 AM,268.00,2026-03-26 10:15:00 AM,long,momentum,2,trading first 5 min,excited,nothing,chased entry,
GOOGL,8,178.50,2026-03-25 11:05:00 AM,175.00,2026-03-25 12:30:00 PM,long,pullback,2,averaged down,stubborn,nothing,averaged down,
AAPL,15,233.00,2026-03-24 10:00:00 AM,230.50,2026-03-24 11:15:00 AM,long,breakout,2,chased entry after big move,anxious,nothing,entered after big move,
TSLA,7,272.00,2026-03-24 2:55:00 PM,266.00,2026-03-24 3:30:00 PM,long,momentum,1,trading last 15 min,fomo,nothing,held too long,

Week Summary,,,,,,,,,,,,,,
NVDA,5,152.00,2026-03-20 10:30:00 AM,149.00,2026-03-20 11:45:00 AM,long,resistance break,2,no stop loss plan,anxious,nothing,held too long,
SPY,4,591.00,2026-03-19 9:35:00 AM,588.00,2026-03-19 10:05:00 AM,long,gap fill,1,trading first 5 min,excited,nothing,chased entry,
AMD,10,165.00,2026-03-18 1:15:00 PM,168.50,2026-03-18 2:45:00 PM,long,support bounce,3,n/a,hopeful,identified level,nothing,
AMZN,6,207.00,2026-03-17 11:00:00 AM,204.50,2026-03-17 12:10:00 PM,long,pullback,2,averaged down,stubborn,nothing,averaged down,
COIN,8,268.00,2026-03-17 9:42:00 AM,262.00,2026-03-17 10:20:00 AM,long,breakout,2,chased entry after big move,fomo,nothing,entered after big move,

Week Summary,,,,,,,,,,,,,,
MSFT,5,418.00,2026-03-13 10:20:00 AM,415.00,2026-03-13 11:50:00 AM,long,pullback,2,no stop loss plan,anxious,nothing,held too long,
TSLA,9,265.00,2026-03-12 9:38:00 AM,271.00,2026-03-12 10:50:00 AM,long,opening range,2,n/a,hopeful,small position size,nothing,
NVDA,7,146.00,2026-03-11 2:40:00 PM,143.50,2026-03-11 3:10:00 PM,long,momentum,1,trading last 15 min,impatient,nothing,chased entry,
AAPL,12,229.00,2026-03-10 10:50:00 AM,226.50,2026-03-10 12:00:00 PM,long,support bounce,2,averaged down,stubborn,nothing,averaged down,
SPY,6,589.00,2026-03-10 9:32:00 AM,586.50,2026-03-10 9:55:00 AM,long,gap up,1,trading first 5 min,excited,nothing,entered after big move,

Week Summary,,,,,,,,,,,,,,
META,4,535.00,2026-03-06 11:30:00 AM,530.00,2026-03-06 1:00:00 PM,long,breakout,2,chased entry after big move,fomo,nothing,entered after big move,
COIN,9,272.00,2026-03-05 10:10:00 AM,278.50,2026-03-05 11:30:00 AM,long,pullback,3,n/a,hopeful,identified level,nothing,
AMD,11,158.00,2026-03-04 1:20:00 PM,155.00,2026-03-04 2:40:00 PM,long,support bounce,2,no stop loss plan,anxious,nothing,held too long,
GOOGL,7,175.00,2026-03-03 9:40:00 AM,172.50,2026-03-03 10:15:00 AM,long,momentum,2,trading first 5 min,impatient,nothing,chased entry,
AMZN,5,205.00,2026-03-03 11:00:00 AM,208.50,2026-03-03 12:20:00 PM,long,pullback,3,n/a,hopeful,quick exit,nothing,

Week Summary,,,,,,,,,,,,,,
NVDA,6,144.00,2026-02-27 10:45:00 AM,141.00,2026-02-27 12:05:00 PM,long,resistance break,2,averaged down,stubborn,nothing,averaged down,
TSLA,8,258.00,2026-02-26 9:35:00 AM,253.00,2026-02-26 10:00:00 AM,long,gap fill,1,trading first 5 min,excited,nothing,entered after big move,
SPY,5,587.00,2026-02-25 2:50:00 PM,584.50,2026-02-25 3:20:00 PM,long,momentum,2,trading last 15 min,fomo,nothing,chased entry,
AAPL,10,226.00,2026-02-24 11:10:00 AM,223.50,2026-02-24 12:30:00 PM,long,breakout,2,no stop loss plan,anxious,nothing,held too long,
MSFT,4,415.00,2026-02-24 9:45:00 AM,411.00,2026-02-24 10:30:00 AM,long,pullback,2,chased entry after big move,fomo,nothing,entered after big move,

Week Summary,,,,,,,,,,,,,,
COIN,12,265.00,2026-02-20 10:05:00 AM,271.00,2026-02-20 11:25:00 AM,long,support bounce,3,n/a,hopeful,identified level,nothing,
META,3,528.00,2026-02-19 1:45:00 PM,522.00,2026-02-19 2:55:00 PM,long,pullback,2,averaged down,stubborn,nothing,averaged down,
AMD,13,155.00,2026-02-18 9:38:00 AM,151.50,2026-02-18 10:05:00 AM,long,breakout,2,trading first 5 min,excited,nothing,chased entry,
GOOGL,6,172.00,2026-02-18 11:30:00 AM,175.50,2026-02-18 12:50:00 PM,long,pullback,3,n/a,hopeful,quick exit,nothing,

Week Summary,,,,,,,,,,,,,,
NVDA,8,141.00,2026-02-13 10:20:00 AM,137.50,2026-02-13 11:40:00 AM,long,momentum,2,no stop loss plan,anxious,nothing,held too long,
TSLA,7,254.00,2026-02-12 9:40:00 AM,260.00,2026-02-12 11:00:00 AM,long,opening range,2,n/a,hopeful,small position size,nothing,
SPY,4,585.00,2026-02-11 2:45:00 PM,582.00,2026-02-11 3:15:00 PM,long,breakout,1,trading last 15 min,fomo,nothing,chased entry,
AAPL,11,224.00,2026-02-10 10:55:00 AM,221.50,2026-02-10 12:10:00 PM,long,support bounce,2,chased entry after big move,anxious,nothing,entered after big move,
AMZN,5,203.00,2026-02-10 9:32:00 AM,199.50,2026-02-10 9:58:00 AM,long,gap up,1,trading first 5 min,excited,nothing,entered after big move,

Week Summary,,,,,,,,,,,,,,
COIN,10,260.00,2026-02-06 11:15:00 AM,256.00,2026-02-06 12:30:00 PM,long,pullback,2,averaged down,stubborn,nothing,averaged down,
MSFT,5,413.00,2026-02-05 9:45:00 AM,418.50,2026-02-05 11:10:00 AM,long,support bounce,3,n/a,hopeful,identified level,nothing,
META,3,525.00,2026-02-04 1:30:00 PM,520.00,2026-02-04 2:45:00 PM,long,momentum,2,no stop loss plan,impatient,nothing,held too long,
AMD,9,152.00,2026-02-03 10:00:00 AM,148.50,2026-02-03 11:20:00 AM,long,breakout,2,chased entry after big move,fomo,nothing,entered after big move,
NVDA,5,138.00,2026-02-03 2:55:00 PM,135.50,2026-02-03 3:25:00 PM,long,pullback,1,trading last 15 min,anxious,nothing,chased entry,

Week Summary,,,,,,,,,,,,,,
GOOGL,7,170.00,2026-01-30 10:40:00 AM,167.00,2026-01-30 12:00:00 PM,long,resistance break,2,no stop loss plan,stubborn,nothing,held too long,
TSLA,6,250.00,2026-01-29 9:35:00 AM,244.50,2026-01-29 10:00:00 AM,long,gap fill,1,trading first 5 min,excited,nothing,entered after big move,
SPY,5,583.00,2026-01-28 11:20:00 AM,579.50,2026-01-28 12:40:00 PM,long,pullback,2,averaged down,stubborn,nothing,averaged down,
AAPL,8,222.00,2026-01-27 1:50:00 PM,219.00,2026-01-27 3:00:00 PM,long,breakout,2,chased entry after big move,anxious,nothing,entered after big move,
AMZN,6,200.50,2026-01-27 9:42:00 AM,205.00,2026-01-27 10:55:00 AM,long,support bounce,3,n/a,hopeful,small position size,nothing,

Week Summary,,,,,,,,,,,,,,
NVDA,7,135.00,2026-01-23 10:10:00 AM,132.00,2026-01-23 11:25:00 AM,long,momentum,2,no stop loss plan,impatient,nothing,held too long,
COIN,8,252.00,2026-01-22 9:35:00 AM,247.00,2026-01-22 10:05:00 AM,long,opening range,1,trading first 5 min,excited,nothing,chased entry,
META,4,520.00,2026-01-21 2:50:00 PM,516.00,2026-01-21 3:20:00 PM,long,pullback,2,trading last 15 min,fomo,nothing,chased entry,
MSFT,6,410.00,2026-01-20 11:00:00 AM,415.50,2026-01-20 12:20:00 PM,long,support bounce,3,n/a,hopeful,identified level,nothing,
AMD,10,149.00,2026-01-20 9:40:00 AM,145.50,2026-01-20 10:15:00 AM,long,breakout,2,chased entry after big move,fomo,nothing,entered after big move,

Week Summary,,,,,,,,,,,,,,
AAPL,9,220.00,2026-01-16 10:30:00 AM,217.00,2026-01-16 11:50:00 AM,long,pullback,2,averaged down,stubborn,nothing,averaged down,
TSLA,7,248.00,2026-01-15 9:38:00 AM,254.50,2026-01-15 10:55:00 AM,long,opening range,2,n/a,hopeful,quick exit,nothing,
SPY,3,581.00,2026-01-14 1:30:00 PM,578.00,2026-01-14 2:40:00 PM,long,resistance break,2,no stop loss plan,anxious,nothing,held too long,
NVDA,6,132.50,2026-01-13 9:35:00 AM,128.50,2026-01-13 10:05:00 AM,long,gap fill,1,trading first 5 min,excited,nothing,entered after big move,
GOOGL,8,168.00,2026-01-13 11:10:00 AM,165.00,2026-01-13 12:20:00 PM,long,pullback,2,chased entry after big move,fomo,nothing,entered after big move,

Week Summary,,,,,,,,,,,,,,
AMZN,5,198.00,2026-01-09 10:50:00 AM,195.00,2026-01-09 12:05:00 PM,long,support bounce,2,no stop loss plan,stubborn,nothing,held too long,
COIN,9,248.00,2026-01-08 9:40:00 AM,253.50,2026-01-08 11:00:00 AM,long,pullback,3,n/a,hopeful,identified level,nothing,
META,3,517.00,2026-01-07 2:45:00 PM,513.00,2026-01-07 3:15:00 PM,long,momentum,1,trading last 15 min,fomo,nothing,chased entry,
TSLA,8,245.00,2026-01-06 11:15:00 AM,241.00,2026-01-06 12:30:00 PM,long,breakout,2,chased entry after big move,anxious,nothing,entered after big move,
AMD,10,147.00,2026-01-05 9:35:00 AM,143.50,2026-01-05 10:00:00 AM,long,opening range,1,trading first 5 min,excited,nothing,chased entry,

Week Summary,,,,,,,,,,,,,,
NVDA,5,130.00,2026-01-02 10:20:00 AM,133.50,2026-01-02 11:40:00 AM,long,support bounce,3,n/a,hopeful,small position size,nothing,
SPY,4,578.00,2025-12-31 2:55:00 PM,575.00,2025-12-31 3:25:00 PM,long,pullback,2,trading last 15 min,impatient,nothing,held too long,
AAPL,7,218.50,2025-12-30 11:00:00 AM,215.50,2025-12-30 12:15:00 PM,long,resistance break,2,averaged down,stubborn,nothing,averaged down,
MSFT,5,407.00,2025-12-29 9:38:00 AM,403.50,2025-12-29 10:05:00 AM,long,gap fill,1,trading first 5 min,excited,nothing,entered after big move,

Week Summary,,,,,,,,,,,,,,
GOOGL,6,166.00,2025-12-26 10:30:00 AM,163.00,2025-12-26 11:45:00 AM,long,pullback,2,no stop loss plan,anxious,nothing,held too long,
TSLA,8,243.00,2025-12-24 9:40:00 AM,248.50,2025-12-24 10:55:00 AM,long,opening range,2,n/a,hopeful,quick exit,nothing,
COIN,7,245.00,2025-12-23 1:30:00 PM,241.00,2025-12-23 2:40:00 PM,long,breakout,2,chased entry after big move,fomo,nothing,entered after big move,
NVDA,6,131.50,2025-12-22 11:05:00 AM,128.00,2025-12-22 12:20:00 PM,long,momentum,2,averaged down,stubborn,nothing,averaged down,

Week Summary,,,,,,,,,,,,,,
AAPL,8,217.00,2025-12-19 10:15:00 AM,214.00,2025-12-19 11:30:00 AM,long,pullback,2,no stop loss plan,stubborn,nothing,held too long,
SPY,4,577.00,2025-12-18 9:35:00 AM,573.00,2025-12-18 10:00:00 AM,long,gap up,1,trading first 5 min,excited,nothing,entered after big move,
AMD,11,148.00,2025-12-17 2:45:00 PM,144.50,2025-12-17 3:15:00 PM,long,resistance break,1,trading last 15 min,impatient,nothing,chased entry,
AMZN,5,197.00,2025-12-16 11:20:00 AM,200.50,2025-12-16 12:40:00 PM,long,support bounce,3,n/a,hopeful,identified level,nothing,
TSLA,9,241.00,2025-12-15 9:45:00 AM,237.00,2025-12-15 10:20:00 AM,long,momentum,2,chased entry after big move,fomo,nothing,entered after big move,

Week Summary,,,,,,,,,,,,,,
META,4,512.00,2025-12-12 10:40:00 AM,508.00,2025-12-12 11:55:00 AM,long,breakout,2,averaged down,stubborn,nothing,averaged down,
NVDA,6,133.00,2025-12-11 9:38:00 AM,137.50,2025-12-11 10:50:00 AM,long,pullback,3,n/a,hopeful,small position size,nothing,
COIN,8,243.00,2025-12-10 1:20:00 PM,239.50,2025-12-10 2:35:00 PM,long,support bounce,2,no stop loss plan,anxious,nothing,held too long,
GOOGL,7,163.50,2025-12-09 9:35:00 AM,160.00,2025-12-09 10:00:00 AM,long,gap fill,1,trading first 5 min,excited,nothing,chased entry,
MSFT,4,405.00,2025-12-08 11:05:00 AM,401.50,2025-12-08 12:20:00 PM,long,pullback,2,chased entry after big move,fomo,nothing,entered after big move,

Week Summary,,,,,,,,,,,,,,
AAPL,9,215.50,2025-12-05 10:25:00 AM,212.50,2025-12-05 11:40:00 AM,long,momentum,2,no stop loss plan,impatient,nothing,held too long,
TSLA,8,239.00,2025-12-04 9:40:00 AM,244.50,2025-12-04 10:55:00 AM,long,opening range,2,n/a,hopeful,quick exit,nothing,
AMD,10,146.00,2025-12-03 2:50:00 PM,142.50,2025-12-03 3:20:00 PM,long,breakout,1,trading last 15 min,fomo,nothing,chased entry,
SPY,5,575.00,2025-12-02 11:10:00 AM,572.00,2025-12-02 12:25:00 PM,long,pullback,2,averaged down,stubborn,nothing,averaged down,
AMZN,6,195.50,2025-12-01 9:35:00 AM,192.50,2025-12-01 10:00:00 AM,long,gap fill,1,trading first 5 min,excited,nothing,entered after big move,

Week Summary,,,,,,,,,,,,,,
COIN,9,241.00,2025-11-28 10:00:00 AM,246.50,2025-11-28 11:20:00 AM,long,support bounce,3,n/a,hopeful,identified level,nothing,
NVDA,5,134.50,2025-11-26 9:38:00 AM,131.00,2025-11-26 10:05:00 AM,long,momentum,2,trading first 5 min,anxious,nothing,entered after big move,
