symbol,shares,entryPrice,entryTime,exitPrice,exitTime,side,setup,confidence,ruleViolation,psychology,whatWorked,whatFailed,link

Week Summary,,,,,,,,,,,,,,
NVDA,50,148.20,2026-04-03 10:15:00 AM,151.40,2026-04-03 1:45:00 PM,long,momentum breakout,4,n/a,focused,waited for setup,n/a,
TSLA,30,272.50,2026-04-03 9:45:00 AM,268.80,2026-04-03 11:30:00 AM,long,opening range breakout,3,n/a,patient,clean entry,exited too early,
AAPL,40,238.10,2026-04-02 10:30:00 AM,241.60,2026-04-02 2:15:00 PM,long,pullback to support,4,n/a,calm,waited for setup,n/a,
MARA,200,22.40,2026-04-02 9:35:00 AM,21.10,2026-04-02 10:50:00 AM,long,gap and go,3,low volume,anxious,n/a,low volume period,
META,15,548.30,2026-04-01 11:00:00 AM,554.70,2026-04-01 2:30:00 PM,long,trend continuation,4,n/a,focused,patient with entry,n/a,
PLTR,80,84.20,2026-03-31 9:40:00 AM,82.50,2026-03-31 11:15:00 AM,long,breakout retest,3,early entry,hopeful,n/a,early entry,

Week Summary,,,,,,,,,,,,,,
CRWD,20,378.40,2026-03-27 10:20:00 AM,383.90,2026-03-27 2:00:00 PM,long,momentum breakout,4,n/a,calm,waited for setup,n/a,
NVDA,45,145.80,2026-03-26 9:35:00 AM,149.20,2026-03-26 1:10:00 PM,long,opening range breakout,4,n/a,focused,clean entry,n/a,
TSLA,25,265.40,2026-03-26 11:30:00 AM,261.80,2026-03-26 2:45:00 PM,long,pullback to support,3,midday trading,anxious,n/a,midday trading,
AMZN,25,212.60,2026-03-25 10:10:00 AM,215.90,2026-03-25 1:30:00 PM,long,trend continuation,4,n/a,calm,good read,n/a,
RIOT,300,14.80,2026-03-24 9:40:00 AM,15.60,2026-03-24 11:00:00 AM,long,gap and go,3,n/a,patient,waited for setup,n/a,
DDOG,35,149.20,2026-03-24 10:45:00 AM,146.50,2026-03-24 1:15:00 PM,long,breakout retest,3,n/a,focused,honored stop,exited too early,

Week Summary,,,,,,,,,,,,,,
AAPL,35,240.70,2026-03-20 9:50:00 AM,244.30,2026-03-20 12:30:00 PM,long,pullback to support,4,n/a,calm,patient with entry,n/a,
META,12,555.80,2026-03-19 10:30:00 AM,561.20,2026-03-19 2:15:00 PM,long,momentum breakout,4,n/a,focused,waited for setup,n/a,
UPST,60,74.30,2026-03-18 9:35:00 AM,77.80,2026-03-18 11:45:00 AM,long,opening range breakout,3,n/a,hopeful,clean entry,n/a,
NVDA,40,147.50,2026-03-18 11:00:00 AM,144.90,2026-03-18 2:00:00 PM,long,trend continuation,3,midday trading,anxious,n/a,midday trading,
TSLA,30,270.20,2026-03-17 9:40:00 AM,274.60,2026-03-17 1:20:00 PM,long,breakout retest,4,n/a,patient,good read,n/a,
PLTR,75,86.40,2026-03-17 10:15:00 AM,84.10,2026-03-17 11:50:00 AM,long,gap and go,3,n/a,focused,honored stop,needed more patience,

Week Summary,,,,,,,,,,,,,,
COIN,20,281.40,2026-03-13 10:00:00 AM,287.60,2026-03-13 1:45:00 PM,long,momentum breakout,4,n/a,calm,waited for setup,n/a,
AMZN,22,216.80,2026-03-12 9:45:00 AM,214.20,2026-03-12 11:30:00 AM,long,opening range breakout,3,n/a,patient,clean entry,exited too early,
MSFT,15,428.30,2026-03-12 10:30:00 AM,432.70,2026-03-12 2:00:00 PM,long,pullback to support,4,n/a,focused,patient with entry,n/a,
MARA,180,23.80,2026-03-11 9:35:00 AM,25.20,2026-03-11 10:50:00 AM,long,gap and go,3,n/a,hopeful,good read,n/a,
CRWD,18,381.20,2026-03-10 11:15:00 AM,377.40,2026-03-10 2:30:00 PM,short,breakdown,3,n/a,calm,honored stop,n/a,
NET,55,122.40,2026-03-10 9:40:00 AM,125.80,2026-03-10 12:45:00 PM,long,trend continuation,4,n/a,focused,waited for setup,n/a,

Week Summary,,,,,,,,,,,,,,
NVDA,50,151.80,2026-03-06 10:20:00 AM,155.40,2026-03-06 1:30:00 PM,long,momentum breakout,4,n/a,focused,clean entry,n/a,
TSLA,28,278.60,2026-03-05 9:35:00 AM,274.90,2026-03-05 11:00:00 AM,long,opening range breakout,3,n/a,anxious,n/a,exited too early,
AAPL,38,242.50,2026-03-05 10:45:00 AM,246.10,2026-03-05 2:45:00 PM,long,pullback to support,4,n/a,calm,waited for setup,n/a,
SHOP,65,115.30,2026-03-04 9:40:00 AM,118.70,2026-03-04 12:00:00 PM,long,breakout retest,3,n/a,patient,good read,n/a,
PLTR,70,87.80,2026-03-04 11:00:00 AM,85.20,2026-03-04 1:15:00 PM,long,trend continuation,3,ignored signal,hopeful,n/a,ignored signal,
META,14,558.40,2026-03-03 10:30:00 AM,563.90,2026-03-03 2:00:00 PM,long,gap and go,4,n/a,focused,patient with entry,n/a,

Week Summary,,,,,,,,,,,,,,
DDOG,32,152.60,2026-02-27 10:15:00 AM,156.40,2026-02-27 1:45:00 PM,long,momentum breakout,4,n/a,calm,waited for setup,n/a,
RIOT,280,15.40,2026-02-26 9:35:00 AM,16.20,2026-02-26 11:15:00 AM,long,opening range breakout,3,n/a,focused,clean entry,n/a,
NVDA,42,149.20,2026-02-26 10:30:00 AM,152.80,2026-02-26 2:30:00 PM,long,pullback to support,4,n/a,patient,patient with entry,n/a,
AMZN,24,218.40,2026-02-25 9:45:00 AM,215.60,2026-02-25 12:00:00 PM,long,breakout retest,3,low volume,anxious,n/a,low volume period,
MSFT,16,430.80,2026-02-24 11:00:00 AM,434.50,2026-02-24 2:15:00 PM,long,trend continuation,4,n/a,calm,good read,n/a,
TSLA,32,275.80,2026-02-24 9:40:00 AM,279.60,2026-02-24 1:00:00 PM,long,gap and go,3,n/a,hopeful,honored stop,n/a,

Week Summary,,,,,,,,,,,,,,
AAPL,40,238.90,2026-02-20 10:00:00 AM,242.40,2026-02-20 1:30:00 PM,long,momentum breakout,4,n/a,focused,waited for setup,n/a,
COIN,22,274.60,2026-02-19 9:35:00 AM,269.80,2026-02-19 11:00:00 AM,long,opening range breakout,3,n/a,patient,clean entry,exited too early,
PLTR,78,83.40,2026-02-19 10:45:00 AM,86.90,2026-02-19 2:00:00 PM,long,pullback to support,4,n/a,calm,patient with entry,n/a,
NET,52,120.80,2026-02-18 9:40:00 AM,118.20,2026-02-18 11:30:00 AM,long,breakout retest,3,n/a,focused,honored stop,needed more patience,
NVDA,48,146.30,2026-02-18 11:15:00 AM,149.70,2026-02-18 2:45:00 PM,long,trend continuation,4,n/a,calm,good read,n/a,
MARA,200,20.80,2026-02-17 9:40:00 AM,22.30,2026-02-17 10:45:00 AM,long,gap and go,3,n/a,hopeful,waited for setup,n/a,

Week Summary,,,,,,,,,,,,,,
META,13,544.20,2026-02-13 10:20:00 AM,550.60,2026-02-13 1:45:00 PM,long,momentum breakout,4,n/a,focused,waited for setup,n/a,
TSLA,26,268.40,2026-02-12 9:35:00 AM,272.80,2026-02-12 12:30:00 PM,long,opening range breakout,4,n/a,calm,clean entry,n/a,
DDOG,38,147.80,2026-02-12 10:30:00 AM,145.10,2026-02-12 2:00:00 PM,long,pullback to support,3,n/a,patient,honored stop,exited too early,
AMZN,20,214.60,2026-02-11 9:40:00 AM,218.40,2026-02-11 1:15:00 PM,long,trend continuation,4,n/a,focused,patient with entry,n/a,
CRWD,19,375.80,2026-02-11 11:00:00 AM,379.40,2026-02-11 2:30:00 PM,long,breakout retest,3,n/a,calm,good read,n/a,
RIOT,250,13.60,2026-02-10 9:35:00 AM,14.40,2026-02-10 10:50:00 AM,long,gap and go,3,n/a,hopeful,waited for setup,n/a,

Week Summary,,,,,,,,,,,,,,
NVDA,55,141.80,2026-02-06 10:15:00 AM,145.30,2026-02-06 1:30:00 PM,long,momentum breakout,4,n/a,focused,waited for setup,n/a,
AAPL,35,234.60,2026-02-05 9:45:00 AM,231.90,2026-02-05 11:30:00 AM,long,opening range breakout,3,n/a,anxious,n/a,exited too early,
SHOP,70,111.40,2026-02-05 10:30:00 AM,114.80,2026-02-05 2:15:00 PM,long,pullback to support,4,n/a,calm,patient with entry,n/a,
TSLA,28,262.40,2026-02-04 9:35:00 AM,266.80,2026-02-04 12:45:00 PM,long,trend continuation,4,n/a,patient,clean entry,n/a,
PLTR,72,80.60,2026-02-04 11:15:00 AM,78.10,2026-02-04 2:00:00 PM,long,breakout retest,3,early entry,hopeful,n/a,early entry,
MSFT,14,424.80,2026-02-03 10:00:00 AM,428.60,2026-02-03 1:45:00 PM,long,gap and go,4,n/a,focused,good read,n/a,

Week Summary,,,,,,,,,,,,,,
UPST,55,70.40,2026-01-30 10:20:00 AM,74.80,2026-01-30 1:15:00 PM,long,momentum breakout,4,n/a,focused,waited for setup,n/a,
NVDA,44,138.60,2026-01-29 9:35:00 AM,142.10,2026-01-29 11:45:00 AM,long,opening range breakout,4,n/a,calm,clean entry,n/a,
META,16,535.80,2026-01-29 10:30:00 AM,531.40,2026-01-29 2:00:00 PM,long,pullback to support,3,n/a,patient,honored stop,needed more patience,
AMZN,22,208.40,2026-01-28 9:40:00 AM,212.60,2026-01-28 1:30:00 PM,long,trend continuation,4,n/a,focused,patient with entry,n/a,
COIN,18,265.80,2026-01-27 11:00:00 AM,271.40,2026-01-27 2:30:00 PM,long,breakout retest,3,n/a,calm,good read,n/a,
MARA,220,19.60,2026-01-27 9:40:00 AM,18.20,2026-01-27 10:50:00 AM,long,gap and go,3,low volume,anxious,n/a,low volume period,

Week Summary,,,,,,,,,,,,,,
TSLA,30,258.40,2026-01-23 10:15:00 AM,262.90,2026-01-23 1:45:00 PM,long,momentum breakout,4,n/a,focused,waited for setup,n/a,
CRWD,22,368.40,2026-01-22 9:35:00 AM,363.80,2026-01-22 11:00:00 AM,long,opening range breakout,3,n/a,patient,clean entry,exited too early,
NVDA,46,136.20,2026-01-22 10:45:00 AM,139.80,2026-01-22 2:15:00 PM,long,pullback to support,4,n/a,calm,patient with entry,n/a,
NET,58,117.60,2026-01-21 9:40:00 AM,121.40,2026-01-21 1:00:00 PM,long,trend continuation,4,n/a,focused,good read,n/a,
AAPL,38,231.80,2026-01-21 11:15:00 AM,228.40,2026-01-21 2:30:00 PM,short,breakdown,3,n/a,calm,honored stop,n/a,
DDOG,36,143.60,2026-01-20 10:00:00 AM,147.40,2026-01-20 1:30:00 PM,long,breakout retest,3,n/a,hopeful,waited for setup,n/a,

Week Summary,,,,,,,,,,,,,,
PLTR,80,77.80,2026-01-16 10:20:00 AM,81.40,2026-01-16 1:45:00 PM,long,momentum breakout,4,n/a,focused,waited for setup,n/a,
TSLA,25,254.60,2026-01-15 9:35:00 AM,258.80,2026-01-15 11:30:00 AM,long,opening range breakout,4,n/a,calm,clean entry,n/a,
NVDA,48,133.40,2026-01-15 10:30:00 AM,130.80,2026-01-15 2:00:00 PM,long,pullback to support,3,ignored signal,anxious,n/a,ignored signal,
META,15,528.40,2026-01-14 9:40:00 AM,534.60,2026-01-14 1:15:00 PM,long,trend continuation,4,n/a,patient,patient with entry,n/a,
AMZN,24,204.80,2026-01-13 11:00:00 AM,208.60,2026-01-13 2:30:00 PM,long,gap and go,3,n/a,focused,good read,n/a,
SHOP,68,107.40,2026-01-13 9:40:00 AM,110.80,2026-01-13 12:00:00 PM,long,breakout retest,4,n/a,calm,honored stop,n/a,

Week Summary,,,,,,,,,,,,,,
COIN,20,258.40,2026-01-09 10:15:00 AM,263.80,2026-01-09 1:30:00 PM,long,momentum breakout,4,n/a,focused,waited for setup,n/a,
NVDA,50,131.60,2026-01-08 9:35:00 AM,135.40,2026-01-08 11:45:00 AM,long,opening range breakout,4,n/a,patient,clean entry,n/a,
TSLA,28,250.80,2026-01-08 10:30:00 AM,247.20,2026-01-08 2:15:00 PM,long,pullback to support,3,n/a,hopeful,honored stop,needed more patience,
AAPL,40,228.60,2026-01-07 9:40:00 AM,232.40,2026-01-07 1:00:00 PM,long,trend continuation,4,n/a,calm,patient with entry,n/a,
MARA,240,17.80,2026-01-07 10:45:00 AM,19.20,2026-01-07 12:30:00 PM,long,gap and go,3,n/a,focused,good read,n/a,
CRWD,21,361.40,2026-01-06 9:40:00 AM,358.60,2026-01-06 11:15:00 AM,long,breakout retest,3,midday trading,anxious,n/a,midday trading,

Week Summary,,,,,,,,,,,,,,
NET,54,115.80,2026-01-02 10:20:00 AM,119.40,2026-01-02 1:45:00 PM,long,momentum breakout,4,n/a,focused,waited for setup,n/a,
NVDA,45,130.40,2025-12-31 9:35:00 AM,133.80,2025-12-31 11:30:00 AM,long,opening range breakout,3,n/a,patient,clean entry,n/a,
TSLA,26,247.60,2025-12-31 10:30:00 AM,244.40,2025-12-31 2:00:00 PM,long,pullback to support,3,n/a,calm,honored stop,exited too early,
META,14,521.80,2025-12-30 9:40:00 AM,527.60,2025-12-30 1:15:00 PM,long,trend continuation,4,n/a,hopeful,patient with entry,n/a,
PLTR,74,75.40,2025-12-29 11:00:00 AM,78.80,2025-12-29 2:30:00 PM,long,gap and go,3,n/a,focused,good read,n/a,

Week Summary,,,,,,,,,,,,,,
UPST,62,65.40,2025-12-26 10:15:00 AM,62.80,2025-12-26 1:30:00 PM,long,breakout retest,3,n/a,anxious,honored stop,needed more patience,
NVDA,42,128.60,2025-12-24 9:35:00 AM,132.40,2025-12-24 11:15:00 AM,long,momentum breakout,4,n/a,calm,waited for setup,n/a,
AAPL,36,226.80,2025-12-23 10:30:00 AM,230.40,2025-12-23 2:00:00 PM,long,opening range breakout,4,n/a,patient,clean entry,n/a,
AMZN,23,201.60,2025-12-22 9:40:00 AM,205.80,2025-12-22 1:00:00 PM,long,pullback to support,4,n/a,focused,patient with entry,n/a,
TSLA,24,244.80,2025-12-22 11:15:00 AM,241.60,2025-12-22 2:30:00 PM,long,trend continuation,3,low volume,hopeful,n/a,low volume period,

Week Summary,,,,,,,,,,,,,,
NVDA,55,132.80,2025-12-19 10:00:00 AM,136.60,2025-12-19 1:45:00 PM,long,momentum breakout,4,n/a,focused,waited for setup,n/a,
CRWD,20,374.80,2025-12-18 9:35:00 AM,371.20,2025-12-18 11:00:00 AM,long,opening range breakout,3,n/a,patient,clean entry,exited too early,
META,16,518.40,2025-12-18 10:30:00 AM,523.80,2025-12-18 2:15:00 PM,long,pullback to support,4,n/a,calm,patient with entry,n/a,
