symbol,shares,entryPrice,entryTime,exitPrice,exitTime,stopLoss,target,pnl,pnl%,setup,confidence,macd,volVsAvgVolume,ruleViolation,psychology,whatWorked,whatFailed,link
,,,,,,,,,,,,,,,,,,
Week Summary,,,,,,,,222.05,10.14,,,,,,,,,
ELPW,550.00,5.074,2026-03-13 8:36:00 AM,5.090,2026-03-13 8:45:00 AM,4.690,5.570,8.80,0.32,n/a,3.00,asc,above,pre ORB,rushed,"right idea, quick in an out",n/a,
TURB,500.00,4.483,2026-03-12 8:37:00 AM,4.540,2026-03-12 8:40:00 AM,4.290,4.920,28.50,1.27,PD break/retest,4.00,asc,above,pre ORB,rushed,"right idea, quick in an out","good entry
failed to breakout",
CVGI,1000.00,2.262,2026-03-11 8:36:00 AM,2.353,2026-03-11 8:36:00 AM,2.190,2.480,91.00,4.02,PMH break,4.00,asc,above,pre ORB,rushed,"right idea, quick in an out","good entry
failed to breakout",
ATPC,250.00,4.780,2026-03-10 8:33:00 AM,4.815,2026-03-10 8:33:00 AM,n/a,5.250,8.75,0.73,PMH break,4.00,asc,above,pre ORB,rushed,"right idea, quick in an out","good entry
failed to breakout",
VTAK,1000.00,2.026,2026-03-10 8:32:00 AM,2.083,2026-03-10 8:32:00 AM,1.920,2.220,57.00,2.81,n/a,4.00,desc,above,pre ORB,rushed,"right idea, quick in an out","good entry
got out early",
LRHC,2000.00,1.417,2026-03-09 8:44:00 AM,1.431,2026-03-09 8:46:00 AM,1.290,1.560,28.00,0.99,n/a,4.00,asc,above,pre ORB,rushed,"right idea, quick in an out","good entry
held a bit longer than I wanted",
,,,,,,,,,,,,,,,,,,
Week Summary,,,,,,,,-89.51,-2.54,,,,,,,,,
TPET,1250.00,2.211,2026-03-06 8:43:00 AM,2.222,2026-03-06 8:46:00 AM,2.140,2.430,13.75,0.50,PMH support,4.00,asc,above,pre ORB,calm,"right idea
great entry","trouble breaking 5 min candle new high
then it came back up",
TURB,1250.00,2.362,2026-03-05 8:50:00 AM,2.160,2026-03-05 8:52:00 AM,2.290,2.590,-252.50,-8.55,PMH break,4.00,asc,above,n/a,calm,"right idea
great entry","jack knife, stopped out
then it came back up",
CANF,300.00,8.907,2026-03-04 8:37:00 AM,9.245,2026-03-04 8:37:00 AM,8.290,9.790,101.40,3.79,PM support,4.00,desc,above,pre ORB,confident,"right idea
great entry",got out too early,
TMDE,800.00,3.575,2026-03-03 8:43:00 AM,3.618,2026-03-03 8:46:00 AM,3.490,3.920,34.40,1.20,PM support,4.00,asc,above,pre ORB,happy,"right idea
great entry","didn't follow plan
got out too early",
TPET,2240.00,1.167,2026-03-02 8:32:00 AM,1.173,2026-03-02 8:34:00 AM,1.040,1.270,13.44,0.51,"PMH break/retest
200 MA break/retest",4.00,asc,above,pre ORB,anxious,right idea,early entry,
,,,,,,,,,,,,,,,,,,
Week Summary,,,,,,,,-211.20,-6.65,,,,,,,,,
XWEL,1520.00,2.028,2026-02-27 8:45:00 AM,1.890,2026-02-26 8:48:00 AM,1.890,2.220,-209.76,-6.80,n/a,3.00,flat,above,no setup,impatient,n/a,"desc macd
couldn't break ORB high",
XWEL,2400.00,1.336,2026-02-26 9:10:00 AM,1.275,2026-02-26 9:16:00 AM,1.260,1.400,-146.40,-4.57,n/a,3.00,desc,same,resistance ORB,anxious,n/a,"desc macd
couldn't break ORB high",
XWEL,2560.00,1.191,2026-02-25 9:05:00 AM,1.222,2026-02-25 9:06:00 AM,1.090,1.300,79.36,2.60,ORB break retest,4.00,asc,above,exit without indication,anxious,A+ setup,exited early,
CDIO,880.00,3.591,2026-02-24 8:43:00 AM,3.635,2026-02-24 8:47:00 AM,3.390,3.960,38.72,1.23,PMH break,4.00,asc,above,a little before ORB setup,ready,ok entry,"macd crossed
couldn't break ORB high",
ALUR,1920.00,1.576,2026-02-23 8:56:00 AM,1.590,2026-02-23 9:03:00 AM,1.490,1.750,26.88,0.89,ORB support,3.00,flat,same,no setup,"cautious
",ok entry,"macd crossed
price increasing while macd going down?",
,,,,,,,,,,,,,,,,,,
Week Summary,,,,,,,,-101.18,-3.14,,,,,,,,,
ABTS,720.00,4.455,2026-02-20 9:30:00 AM,4.220,2026-02-20 9:36:00 AM,n/a,4.890,-169.20,-5.27,n/a,2.00,asc,above,no setup,"cautious
",n/a,"no setup
no defined stop loss",
BATL,848.00,3.804,2026-02-19 9:03:00 AM,3.831,2026-02-19 9:05:00 AM,n/a,4.180,22.90,0.71,n/a,3.00,asc,above,no setup,"cautious
",n/a,"no setup
no defined stop loss",
ATOM,480.00,6.025,2026-02-18 9:03:00 AM,5.965,2026-02-18 9:05:00 AM,5.830,6.620,-28.80,-1.00,PMH support,4.00,flat,above,macd,"cautious
","great entry
clear support level",failed to break previous candle high,
GVH,2640.00,1.157,2026-02-17 8:36:00 AM,1.185,2026-02-17 8:41:00 AM,1.120,1.270,73.92,2.42,PM support,3.00,desc,above,ORB not formed,"cautious
","great entry
clear support level","huge red candle
too high volume",
,,,,,,,,,,,,,,,,,,
Week Summary,,,,,,,,487.92,18.28,,,,,,,,,
RIME,2560.00,1.226,2026-02-13 8:45:00 AM,1.245,2026-02-13 8:48:00 AM,1.190,1.340,48.64,1.55,ORB support,3.00,flat,above,macd,cautious,"great entry
clear support level","slow market
too high volume",
VRME,2560.00,1.206,2026-02-12 8:52:00 AM,1.235,2026-02-12 8:54:00 AM,1.160,1.320,74.24,2.40,ORB resistance break/retest,3.00,flat,above,macd,nervous,"great entry
clear support level",slow market,
CCHH,1760.00,1.607,2026-02-11 8:59:00 AM,1.715,2026-02-11 9:01:00 AM,1.570,1.760,190.08,6.72,ORB resistance break/retest,4.00,asc,above,n/a,calm,"great entry
macd asc
clear support level",could have held longer,
ABP,960.00,2.477,2026-02-10 8:40:00 AM,2.711,2026-02-10 8:42:00 AM,2.340,2.710,224.64,9.45,PML Support,4.00,asc,above,ORB not formed,excited,"macd asc
clear support level","good entry
could have held longer",
MNTS,368.00,7.328,2026-02-09 9:39:00 AM,7.193,2026-02-09 9:45:00 AM,7.180,8.020,-49.68,-1.84,ORB low Resistance Break,3.00,flat,below,"flat macd
low volume
",nervous,broke resistance,"didn't stay above resistance
",
,,,,,,,,,,,,,,,,,,
Week Summary,,,,,,,,-93.20,-3.32,,,,,,,,,
LIMN,1120.00,2.296,2026-02-06 9:25:00 AM,2.304,2026-02-06 9:27:00 AM,2.210,2.530,8.96,0.35,PMH Resistance Break,4.00,asc,above,n/a,excited,"macd asc
broke resistance","early entry
didn't exit on quick pop over resistance",
LIMN,1440.00,1.769,2026-02-05 8:35:00 AM,1.780,2026-02-05 8:41:00 AM,1.730,1.900,15.84,0.62,PMH Support,4.00,asc,above,ORB not formed,"anxious
fomo",macd asc,early entry,
